crime_score,lighting_score,traffic_score,crowd_score,time_of_day,day_of_week,road_condition,safety_score
31,51,21,77,2,6,88,64
52,40,16,12,9,7,54,59
16,86,64,62,12,1,53,64
49,22,56,68,2,2,18,35
33,61,99,35,12,3,66,55
0,0,25,59,16,1,60,59
28,2,17,91,7,3,89,54
83,0,21,45,13,1,48,35
57,34,20,72,20,3,76,51
7,12,66,47,11,4,99,63
48,5,93,94,21,2,5,20
27,36,81,16,9,1,32,51
62,62,14,67,6,1,87,59
69,82,56,64,19,1,18,41
80,67,64,84,15,5,6,28
80,99,0,50,4,3,47,58
16,70,75,98,14,4,2,44
46,18,12,16,0,7,42,54
37,27,22,17,12,6,7,50
31,82,4,53,22,2,81,75
57,60,65,3,3,3,8,46
15,90,79,66,18,6,100,72
53,39,66,9,22,6,67,54
50,74,83,67,9,5,73,52
72,1,91,25,0,5,0,21
3,29,43,7,23,6,36,65
61,68,44,50,8,1,36,48
48,38,0,72,0,7,82,59
77,54,78,80,11,1,8,26
47,69,50,84,11,7,86,57
79,74,91,68,9,7,45,36
3,90,100,82,6,5,19,54
95,66,96,56,3,2,56,33
94,16,49,52,7,2,23,24
35,15,56,11,1,6,74,57
86,82,86,11,15,4,62,48
2,63,55,22,7,1,36,68
88,98,99,41,11,7,86,49
20,9,28,87,18,6,29,44
43,99,14,43,12,3,39,66
13,69,87,74,12,2,20,50
67,63,50,20,12,2,45,51
59,31,38,31,7,1,61,50
57,60,4,45,6,3,14,50
12,8,26,86,21,7,67,55
70,87,13,80,14,1,97,62
48,60,53,45,23,2,46,52
16,88,61,29,13,2,72,74
35,69,73,9,7,4,83,68
94,92,63,14,23,7,57,50
82,34,76,18,13,7,57,40
40,0,77,44,5,4,30,36
52,45,10,35,7,4,1,47
75,51,4,57,5,5,25,44
95,78,17,56,3,7,73,51
78,60,19,13,13,2,91,62
12,62,41,59,15,7,87,71
35,47,52,85,5,7,70,52
50,33,95,81,11,5,66,38
51,95,84,100,18,7,51,46
28,80,69,39,5,5,76,67
38,10,44,1,16,7,23,48
61,36,94,97,0,2,14,23
84,63,57,8,21,4,80,54
40,90,31,59,22,5,5,54
90,45,24,44,0,3,21,36
30,87,76,78,21,7,71,60
73,47,45,91,14,3,24,32
27,72,44,63,12,5,85,67
97,42,64,75,11,3,22,23
86,55,72,22,10,2,7,32
49,50,13,87,16,6,17,44
56,50,21,23,12,1,50,57
24,36,47,33,11,4,8,50
66,52,79,28,15,4,91,53
18,47,62,67,3,5,2,45
14,56,23,12,11,6,82,78
25,46,46,73,23,3,48,53
73,22,91,67,5,4,11,21
